Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00187305378697972,-3.30450349896473E-09,0.0594274171457868,0,0,0,0.26849794875154,0.000442972944863908,2.94712673117681E-07,5.13933937495442E-06,0.000548403768939125,8.88655603930499E-11,0.000492312014739624,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/base_link.STL,,YAO-1/YAO001-1;YAO-1/YAO003-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist_yaw_link,-0.00648610660627958,-0.00148126299371335,0.133272733165305,0,0,0,3.39181361273554,0.0104832226512467,-2.65648994756972E-06,0.000455854096821329,0.00617192436683792,-4.71339445014099E-06,0.00641218120942065,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/waist_yaw_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/waist_yaw_link.STL,,XIONG-2/XIONG-2;XIONG-2/win.20step(13)-2,waist_yaw_cs,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0.129049999999987,0,0,0,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
l_arm_pitch_link,-0.000471082269164737,0.0336718937445523,-1.87705290101148E-05,0,0,0,0.0970418196105712,5.44493135584596E-05,2.950904880478E-06,-5.10982517892464E-07,7.20137830059088E-05,1.207411549629E-06,5.2906359608044E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_pitch_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_pitch_link.STL,,SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/01-2/Mirror000_17_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/01-2/Mirrorcnc0_asm_100_asm_49_1-1,l_arm_pitch_cs,l_arm_pitch_axis,l_arm_pitch_joint,revolute,0.0010007,0.083723,0.17204,0.2618,0,0,waist_yaw_link,0,1,0,0,0,-3.14,1.57,,,,,,,,
l_arm_roll_link,0.00162056270261974,0.0177228907605169,-0.0358433195312839,0,0,0,0.135602640127301,0.000183241964766997,1.18603156316659E-06,-1.70718772634991E-06,0.000148657126781829,1.23631804111166E-05,6.71021979965566E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_roll_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_roll_link.STL,,SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/04-1/Mirror0002_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/04-1/Mirror0001_4_1-1,l_arm_roll_cs,l_arm_roll_axis,l_arm_roll_joint,revolute,-0.0010007,0.044,0,-0.2618,0,0,l_arm_pitch_link,1,0,0,0,0,-1.04,1.4,,,,,,,,
l_arm_yaw_link,0.00241718429261958,-0.000238070667773593,-0.045359791260247,0,0,0,0.0986252925680906,5.94220772336715E-05,-4.55376981206717E-08,1.00396988203655E-05,8.4088492024811E-05,-1.21355889116299E-07,3.73695062462853E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_yaw_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_arm_yaw_link.STL,,SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/02-1/Mirror0004_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/02-1/Mirror0005_3-163302_1-1,l_arm_yaw_cs,l_arm_yaw_axis,l_arm_yaw_joint,revolute,0.0010007,0.023135,-0.092344,0.087266,0,0,l_arm_roll_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
l_elbow_pitch_link,7.62023868208107E-05,0.00136068247208701,-0.0969903371504109,0,0,0,0.273020404808366,0.00015344759613607,2.37364404795739E-06,-9.52775640641704E-07,0.000167725450347555,-3.07839059691897E-07,9.71505463567242E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_elbow_pitch_link.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/l_elbow_pitch_link.STL,,SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/03^Mirrorcnc0_asm_5_asm_1-1/Mirrorbrep_1_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/03^Mirrorcnc0_asm_5_asm_1-1/Mirror0006_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/03^Mirrorcnc0_asm_5_asm_1-1/Mirror00_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/03^Mirrorcnc0_asm_5_asm_1-1/Mirror000_3_1-1;SHOUL-2/Mirrorcnc0_asm_5_asm_1-2/03^Mirrorcnc0_asm_5_asm_1-1/Mirror0010_3_1-1,l_elbow_pitch_cs,l_elbow_pitch_axis,l_elbow_pitch_joint,revolute,0.010308,0,-0.061252,0,0,0,l_arm_yaw_link,0,1,0,0,0,-2.26,0,,,,,,,,
r_arm_pitch_link,-0.000472297403594053,-0.0336737826901683,-1.69799631968282E-05,0,0,0,0.0970353338227143,5.44493473717327E-05,-2.95138078069803E-06,-5.08949337241107E-07,7.20145396253609E-05,-1.2065799978824E-06,5.29052870552157E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_pitch_link.STL,,SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M1-1/MirrorMirrorcnc0_asm_100_asm_49_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M1-1/MirrorMirror000_17_1-1,r_arm_pitch_cs,r_arm_pitch_axis,r_arm_pitch_joint,revolute,0.0010007,-0.083723,0.17204,-0.2618,0,0,waist_yaw_link,0,1,0,0,0,-3.14,1.57,,,,,,,,
r_arm_roll_link,0.00161913815840906,-0.0177215110059507,-0.0358429218087904,0,0,0,0.13561183808146,0.000183254509731201,-1.1859736842612E-06,-1.70513694694939E-06,0.000148664913310879,-1.2365679521807E-05,6.71085889665257E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_roll_link.STL,,SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M2-1/MirrorMirror0002_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M2-1/MirrorMirror0001_4_1-1,r_arm_roll_cs,r_arm_roll_axis,r_arm_roll_joint,revolute,-0.0010007,-0.044,0,0.2618,0,0,r_arm_pitch_link,1,0,0,0,0,-1.4,1.04,,,,,,,,
r_arm_yaw_link,0.00241610251715716,0.000238044852305996,-0.0453608079330835,0,0,0,0.0986335309394241,5.9423800056729E-05,4.55700657647995E-08,1.00385939301029E-05,8.40919622590811E-05,1.21193618911296E-07,3.73715927621963E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_yaw_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_arm_yaw_link.STL,,SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M3-1/MirrorMirror0004_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M3-1/MirrorMirror0005_3-163302_1-1,r_arm_yaw_cs,r_arm_yaw_axis,r_arm_yaw_joint,revolute,0.0010007,-0.023135,-0.092344,-0.087266,0,0,r_arm_roll_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
r_elbow_pitch_link,7.47947724488249E-05,-0.00135832236073774,-0.0969912039599341,0,0,0,0.273014465923023,0.000153447130501446,-2.37791319291021E-06,-9.56013796206398E-07,0.000167722566801967,3.07951152978288E-07,9.71501419953336E-05,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_elbow_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://BUMI_V3.0_260119/meshes/r_elbow_pitch_link.STL,,SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M4^MirrorMirrorcnc0_asm_5_asm_1-1/MirrorMirror00_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M4^MirrorMirrorcnc0_asm_5_asm_1-1/MirrorMirrorbrep_1_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M4^MirrorMirrorcnc0_asm_5_asm_1-1/MirrorMirror0006_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M4^MirrorMirrorcnc0_asm_5_asm_1-1/MirrorMirror000_3_1-1;SHOUR-3/MirrorMirrorcnc0_asm_5_asm_1-1/M4^MirrorMirrorcnc0_asm_5_asm_1-1/MirrorMirror0010_3_1-1,r_elbow_pitch_cs,r_elbow_pitch_axis,r_elbow_pitch_joint,revolute,0.010308,0,-0.061252,0,0,0,r_arm_yaw_link,0,1,0,0,0,-2.26,0,,,,,,,,
