wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872153.656300,0.000849,507.680054,-4.103927,2.338473,0.830145,1779872153656-0,0.000000
1779872153.676423,0.020972,507.700043,-4.103912,2.337837,0.830149,1779872153676-0,0.000636
1779872153.696454,0.041004,507.720062,-4.103878,2.337555,0.830145,1779872153696-0,0.000285
1779872153.717834,0.062383,507.740051,-4.103756,2.336977,0.830125,1779872153717-0,0.000591
1779872153.737542,0.082092,507.760071,-4.103671,2.336682,0.830110,1779872153736-0,0.000307
1779872153.756648,0.101197,507.780060,-4.103412,2.335979,0.830067,1779872153756-0,0.000750
1779872153.852510,0.197060,507.800079,-4.103278,2.335674,0.830046,1779872153776-0,0.000334
1779872153.852526,0.197076,507.820068,-4.102979,2.335070,0.829998,1779872153796-0,0.000676
1779872153.852530,0.197080,507.840057,-4.102758,2.334677,0.829962,1779872153816-0,0.000452
1779872153.852533,0.197083,507.860138,-4.102412,2.334098,0.829908,1779872153836-0,0.000676
1779872153.857539,0.202088,507.880066,-4.103186,2.334075,0.830090,1779872153857-0,0.000795
1779872153.876783,0.221333,507.900330,-4.103682,2.333588,0.830248,1779872153876-0,0.000713
1779872153.896394,0.240944,507.920074,-4.103776,2.333385,0.830289,1779872153896-0,0.000227
1779872153.916598,0.261147,507.940063,-4.103866,2.332945,0.830355,1779872153916-0,0.000454
1779872153.936457,0.281007,507.960052,-4.104207,2.332715,0.830462,1779872153936-0,0.000425
1779872153.956376,0.300926,507.980072,-4.103903,2.332217,0.830434,1779872153956-0,0.000584
1779872153.976767,0.321317,508.000061,-4.104360,2.331805,0.830584,1779872153976-0,0.000633
1779872154.038757,0.383307,508.020050,-4.104365,2.331532,0.830608,1779872153996-0,0.000275
1779872154.038776,0.383326,508.040741,-4.104064,2.331271,0.830554,1779872154017-0,0.000401
1779872154.038780,0.383330,508.060059,-4.104061,2.330594,0.830599,1779872154036-0,0.000679
1779872154.056606,0.401156,508.080078,-4.103945,2.330057,0.830597,1779872154056-0,0.000549
1779872154.076700,0.421250,508.100067,-4.103733,2.329255,0.830570,1779872154076-0,0.000830
1779872154.096636,0.441186,508.120056,-4.103522,2.328871,0.830526,1779872154096-0,0.000441
1779872154.154618,0.499167,508.140076,-4.103254,2.328108,0.830464,1779872154116-0,0.000811
1779872154.154636,0.499185,508.160065,-4.103176,2.327604,0.830440,1779872154136-0,0.000510
1779872154.156474,0.501024,508.180054,-4.103188,2.326856,0.830425,1779872154156-0,0.000748
1779872154.176508,0.521058,508.200043,-4.103248,2.326483,0.830429,1779872154176-0,0.000377
1779872154.196402,0.540952,508.220062,-4.103454,2.325739,0.830449,1779872154196-0,0.000772
1779872154.216349,0.560899,508.240051,-4.103596,2.325367,0.830464,1779872154216-0,0.000399
1779872154.297163,0.641713,508.260040,-4.104004,2.324500,0.830510,1779872154236-0,0.000960
1779872154.297182,0.641731,508.280060,-4.104207,2.324130,0.830534,1779872154256-0,0.000422
1779872154.297185,0.641735,508.300049,-4.104726,2.323271,0.830596,1779872154276-0,0.001006
1779872154.297189,0.641738,508.320068,-4.164327,2.299481,0.833951,1779872154296-0,0.064261
1779872154.316540,0.661090,508.340057,-4.241023,2.267075,0.830845,1779872154316-0,0.083319
1779872154.367303,0.711853,508.360077,-4.254814,2.262383,0.828889,1779872154336-0,0.014698
1779872154.367316,0.711865,508.381805,-4.257377,2.261580,0.828796,1779872154357-0,0.002687
1779872154.378187,0.722737,508.400177,-4.258479,2.261364,0.828837,1779872154377-0,0.001123
1779872154.396682,0.741232,508.420319,-4.257955,2.263143,0.829738,1779872154396-0,0.002061
1779872154.420198,0.764748,508.443054,-4.257298,2.264268,0.830202,1779872154419-0,0.001383
1779872154.457067,0.801617,508.460052,-4.256155,2.266815,0.831044,1779872154436-0,0.002916
1779872154.457082,0.801631,508.480072,-4.256040,2.267674,0.831194,1779872154456-0,0.000880
1779872154.476411,0.820960,508.500061,-4.254815,2.269733,0.831197,1779872154476-0,0.002396
1779872154.496629,0.841178,508.520081,-4.254407,2.270786,0.830890,1779872154496-0,0.001170
1779872154.516433,0.860983,508.540070,-4.252709,2.272583,0.830327,1779872154516-0,0.002535
1779872154.536386,0.880936,508.560059,-4.251075,2.273842,0.829966,1779872154536-0,0.002094
1779872154.575115,0.919665,508.580048,-4.248038,2.276512,0.829121,1779872154556-0,0.004131
1779872154.576243,0.920792,508.600067,-4.247177,2.277663,0.828746,1779872154576-0,0.001485
1779872154.596388,0.940938,508.620056,-4.243913,2.281203,0.827822,1779872154596-0,0.004903
1779872154.616416,0.960965,508.640076,-4.243143,2.282718,0.827566,1779872154616-0,0.001719
1779872154.636836,0.981385,508.660156,-4.240685,2.286273,0.827402,1779872154636-0,0.004325
1779872154.663948,1.008498,508.680145,-4.240190,2.288622,0.827477,1779872154656-0,0.002401
1779872154.676335,1.020885,508.700043,-4.238494,2.294525,0.828270,1779872154676-0,0.006194
1779872154.696824,1.041374,508.720062,-4.237428,2.297840,0.829007,1779872154696-0,0.003559
1779872154.716527,1.061076,508.740051,-4.237013,2.303249,0.830104,1779872154716-0,0.005535
